상호명,출처,종류,x,y
계룡휘트니스클럽,인허가,헬스장,988932,1816703
조휘트니스클럽,인허가,헬스장,988898,1816967
천지연헬스클럽,인허가,헬스장,990090,1816382
동산휘트니스,인허가,헬스장,987603,1817768
SM 필라테스,인허가,헬스장,989973,1816820
도솔다목적체육관,인허가,헬스장,988155,1814201
DS휘트니스센터 대전 둔산점,인허가,헬스장,990088,1817070
타잔헬스휘트니스,인허가,헬스장,988801,1816990
경성스포츠,인허가,헬스장,989091,1815505
스파클럽,인허가,헬스장,989789,1816645
서구국민체육센터(체력단련장),인허가,헬스장,987720,1811695
베네핏,인허가,헬스장,988963,1816625
커브스둔산클럽,인허가,헬스장,990371,1817658
베네핏휘트니스,인허가,헬스장,989025,1818218
M 트레이닝 센터,인허가,헬스장,989037,1817546
L.K 짐,인허가,헬스장,989216,1813003
우리들척추운동센터,인허가,헬스장,989882,1816956
가수원휘트니스헬스,인허가,헬스장,986492,1811775
대전 스트렝스,인허가,헬스장,986952,1817423
더웰 피트니스,인허가,헬스장,987548,1817668
페르소나 피티,인허가,헬스장,990306,1815922
크로스핏 와썹,인허가,헬스장,989281,1819039
더웰피트니스,인허가,헬스장,989270,1818667
하이런 하이브리드짐,인허가,헬스장,989462,1816628
피트니스1번지&크로스핏 도안점,인허가,헬스장,986279,1812296
만년헬스,인허가,헬스장,989104,1818377
(주)리조트휘트니스,인허가,헬스장,990089,1815921
위짐(둔산점),인허가,헬스장,990083,1816961
관저힐 스파,인허가,헬스장,985132,1811677
오르다PT,인허가,헬스장,985468,1811058
원포인트짐,인허가,헬스장,989454,1814749
바벨 피트니스,인허가,헬스장,988844,1817074
체스트업,인허가,헬스장,990929,1817029
핫플짐 구봉점,인허가,헬스장,984355,1810960
랩스 월평점,인허가,헬스장,988962,1818295
ROM PT,인허가,헬스장,986546,1813006
MSL PT,인허가,헬스장,986623,1812096
헬스중독,인허가,헬스장,988730,1817070
이루어짐,인허가,헬스장,989939,1816564
YOLO GYM,인허가,헬스장,990334,1815712
M.W FITNESS,인허가,헬스장,989077,1817340
헬스보이짐&필라걸,인허가,헬스장,989221,1817264
비식스 PT 둔산점,인허가,헬스장,988742,1817234
드림바디 휘트니스 만년점,인허가,헬스장,989236,1819058
온짐(ON GYM),인허가,헬스장,988737,1816532
드림바디 & 바디앤솔 가장점,인허가,헬스장,990024,1815118
PT.Univ 피티대학,인허가,헬스장,989153,1816309
핫풀짐,인허가,헬스장,985738,1812149
피티타임,인허가,헬스장,985043,1811527
키네틱짐,인허가,헬스장,989986,1815339
ONECLASS PT,인허가,헬스장,989231,1817462
티더스짐,인허가,헬스장,989978,1816883
무브먼트 피트니스,인허가,헬스장,986887,1812177
온앤원,인허가,헬스장,984342,1811116
피비제이GYM,인허가,헬스장,990198,1815832
CrossFit 101,인허가,헬스장,988831,1818239
가온헬스,인허가,헬스장,993364,1813998
피트니스 1번지,인허가,헬스장,990336,1813453
대전시립종합복지관헬스장,인허가,헬스장,989464,1811837
바벨 피트니스 은행동점,인허가,헬스장,993497,1814551
모두의 헬스장,인허가,헬스장,992164,1814926
케틀벨아시아피트니스GYM,인허가,헬스장,991809,1815122
케어짐,인허가,헬스장,991005,1813552
레이짐,인허가,헬스장,992444,1815528
미니짐,인허가,헬스장,992634,1814369
모던 휘트니스,인허가,헬스장,992063,1815414
