상호명,출처,종류,x,y
마더요가아쉬람,소상공,요가/필라테스,983342,1821588
엠피아이모던필라테스대전충남지부,소상공,요가/필라테스,990118,1817213
필라테스숲,소상공,요가/필라테스,985505,1815035
단하필라테스,소상공,요가/필라테스,989884,1817253
하이파이브유소년스포츠,소상공,요가/필라테스,989718,1811072
하이파이브스포츠,소상공,요가/필라테스,989109,1815477
네츄럴바디기구필라테스,소상공,요가/필라테스,987861,1812238
리주클래식필라테스,소상공,요가/필라테스,986070,1814079
더엘르,소상공,요가/필라테스,991907,1813861
삼정유소년축구교실,소상공,요가/필라테스,985769,1818542
더쎄짐,소상공,요가/필라테스,985771,1811345
바디앤솔메디필라테스아카데미,소상공,요가/필라테스,989281,1819003
인유어필라테스,소상공,요가/필라테스,990084,1816962
전스짐&티케필라테스,소상공,요가/필라테스,989071,1811308
바벨복합,소상공,요가/필라테스,994320,1816991
박수갈채노래교실,소상공,요가/필라테스,993684,1816713
지움바디필라테스,소상공,요가/필라테스,986604,1812863
필라테스라뮤즈,소상공,요가/필라테스,985909,1813885
더배움필라테스,소상공,요가/필라테스,991279,1822412
팀던트레이닝센터,소상공,요가/필라테스,983813,1819753
올어바웃번지앤요가,소상공,요가/필라테스,988851,1817171
김필라테스,소상공,요가/필라테스,989532,1814959
카루나요가,소상공,요가/필라테스,989118,1811285
더엘르,소상공,요가/필라테스,994926,1813965
요가루트,소상공,요가/필라테스,983905,1820582
엘요가,소상공,요가/필라테스,988146,1816972
은성mma,소상공,요가/필라테스,995919,1814561
허리케어PT,소상공,요가/필라테스,986054,1817214
사라요가,소상공,요가/필라테스,991939,1813994
크라운필라테스,소상공,요가/필라테스,990456,1824650
어뮤즈필라테스,소상공,요가/필라테스,985331,1818218
온엔원,소상공,요가/필라테스,984344,1811117
모두필라테스,소상공,요가/필라테스,990254,1825349
필굿,소상공,요가/필라테스,996301,1815480
바벨/바렐,소상공,요가/필라테스,987814,1817741
더엘르,소상공,요가/필라테스,986604,1812863
더베네핏,소상공,요가/필라테스,990747,1824967
부디요가,소상공,요가/필라테스,991594,1821975
베네필라테스,소상공,요가/필라테스,990747,1824967
다이아필라테스반석,소상공,요가/필라테스,982676,1821334
주노요가,소상공,요가/필라테스,988958,1818243
활인수,소상공,요가/필라테스,993547,1818133
라움,소상공,요가/필라테스,989061,1816496
필라테스파인트리,소상공,요가/필라테스,985667,1816210
알에이치필라테스,소상공,요가/필라테스,986278,1814135
오유먼트필라테스,소상공,요가/필라테스,994883,1814600
리얼무브,소상공,요가/필라테스,992063,1815105
박계영다옴메디월필라테스,소상공,요가/필라테스,986161,1817993
오늘은필라테스,소상공,요가/필라테스,987336,1828377
홀리짐,소상공,요가/필라테스,993374,1817991
요가무드,소상공,요가/필라테스,982257,1821276
필라테스포유,소상공,요가/필라테스,985775,1817512
위핑줄넘기,소상공,요가/필라테스,985775,1811421
지혜로움필라테스,소상공,요가/필라테스,989940,1817660
유성스텔라요가&필라테스,소상공,요가/필라테스,985450,1819062
무브모어,소상공,요가/필라테스,989073,1817284
파프리카PT,소상공,요가/필라테스,991899,1813758
주필라테스,소상공,요가/필라테스,990005,1825024
와이농구교실,소상공,요가/필라테스,996851,1809103
